"Cell_ID","lon","lat","Area_km2","fe_diversity_norm"
51,100.5,5.5,12252.7913791073,0.556864737682082
100,101.5,2.5,12297.4471279166,0
239,104.5,2.5,12297.4471279166,0
458,108.5,19.5,11607.3674556651,0
460,108.5,20.5,11534.2952935211,0
461,108.5,21.5,11457.7216674956,0
519,109.5,18.5,11676.9170250703,0
521,109.5,20.5,11534.2952935211,0
522,109.5,21.5,11457.7216674956,0
580,110.5,20.5,11534.2952935211,0
637,111.5,20.5,11534.2952935211,0
638,111.5,21.5,11457.7216674956,0
696,112.5,20.5,11534.2952935211,0
697,112.5,21.5,11457.7216674956,0
764,113.5,21.5,11457.7216674956,0
765,113.5,22.5,11377.6687400526,0
828,114.5,21.5,11457.7216674956,0.673719657933168
829,114.5,22.5,11377.6687400526,0.543100026245543
874,115.5,13.5,11971.1592313456,0
877,115.5,16.5,11805.3690583309,0
883,115.5,22.5,11377.6687400526,0.469568204483662
923,116.5,13.5,11971.1592313456,0
926,116.5,16.5,11805.3690583309,0
932,116.5,22.5,11377.6687400526,0
933,116.5,23.5,11294.1597036605,0
978,117.5,18.5,11676.9170250703,0
979,117.5,19.5,11607.3674556651,0
980,117.5,20.5,11534.2952935211,0
982,117.5,22.5,11377.6687400526,0.665176705018238
983,117.5,23.5,11294.1597036605,0.690581672580431
992,117.5,38.5,9645.66233895871,0
1038,118.5,20.5,11534.2952935211,0
1039,118.5,21.5,11457.7216674956,0
1040,118.5,22.5,11377.6687400526,0.373525966956875
1041,118.5,23.5,11294.1597036605,0.629786161986004
1042,118.5,24.5,11207.2187769577,0.213511486998972
1096,119.5,20.5,11534.2952935211,0
1097,119.5,21.5,11457.7216674956,0.252527873563676
1098,119.5,22.5,11377.6687400526,0.802543338272735
1099,119.5,23.5,11294.1597036605,0.397331840782686
1100,119.5,24.5,11207.2187769577,0.21662475887533
1101,119.5,25.5,11116.8712006804,0.574631767317696
1102,119.5,26.5,11023.1432333443,0
1109,119.5,34.5,10155.1084370167,0
1110,119.5,35.5,10032.3040396606,0
1114,119.5,39.5,9510.83237738504,0
1151,120.5,13.5,11971.1592313456,0
1155,120.5,20.5,11534.2952935211,0
1156,120.5,21.5,11457.7216674956,0.45688328796172
1157,120.5,22.5,11377.6687400526,0.681061486730645
1158,120.5,23.5,11294.1597036605,0.324154924915326
1159,120.5,24.5,11207.2187769577,0.262267257993221
1160,120.5,25.5,11116.8712006804,0.216056450163064
1161,120.5,26.5,11023.1432333443,1.0063678252775
1162,120.5,27.5,10926.0621466725,0
1170,120.5,35.5,10032.3040396606,0
1171,120.5,36.5,9906.43667288967,0
1172,120.5,37.5,9777.54342768,0
1173,120.5,38.5,9645.66233895871,0.451857811292597
1217,121.5,21.5,11457.7216674956,0.711167833693843
1218,121.5,22.5,11377.6687400526,0.505744693075439
1219,121.5,23.5,11294.1597036605,0.185155119458041
1220,121.5,24.5,11207.2187769577,0.275196492328125
1221,121.5,25.5,11116.8712006804,0.128458873788575
1222,121.5,26.5,11023.1432333443,0
1223,121.5,27.5,10926.0621466725,0.683031624697666
1224,121.5,28.5,10825.6562207627,0.633734315776244
1225,121.5,29.5,10721.9547389842,0
1227,121.5,30.5,10614.9879825991,0
1228,121.5,31.5,10504.7872250978,0
1229,121.5,32.5,10391.3847262419,0
1232,121.5,35.5,10032.3040396606,0
1233,121.5,36.5,9906.43667288967,0
1234,121.5,37.5,9777.54342768,0
1235,121.5,38.5,9645.66233895871,0.157698929204526
1236,121.5,39.5,9510.83237738504,0.00227478508491992
1279,122.5,19.5,11607.3674556651,0
1281,122.5,20.5,11534.2952935211,0.0929125326546169
1282,122.5,21.5,11457.7216674956,0
1283,122.5,22.5,11377.6687400526,0
1284,122.5,23.5,11294.1597036605,0.257976425373449
1285,122.5,24.5,11207.2187769577,0.184219633378989
1286,122.5,25.5,11116.8712006804,0.0812399986803703
1287,122.5,26.5,11023.1432333443,0
1288,122.5,27.5,10926.0621466725,0
1289,122.5,28.5,10825.6562207627,0.0495388833648733
1290,122.5,29.5,10721.9547389842,0.522492070589318
1291,122.5,3.5,12286.2783926404,0
1292,122.5,30.5,10614.9879825991,0.0995712635050486
1293,122.5,31.5,10504.7872250978,0.604833432098408
1295,122.5,33.5,10274.8137258071,0
1296,122.5,34.5,10155.1084370167,0
1297,122.5,35.5,10032.3040396606,0
1298,122.5,36.5,9906.43667288967,0.167486666817743
1299,122.5,37.5,9777.54342768,0
1300,122.5,38.5,9645.66233895871,0.124001316857745
1339,123.5,18.5,11676.9170250703,0
1340,123.5,19.5,11607.3674556651,0.0757916969494064
1342,123.5,20.5,11534.2952935211,0
1343,123.5,21.5,11457.7216674956,0
1344,123.5,22.5,11377.6687400526,0
1345,123.5,23.5,11294.1597036605,0.682479886050194
1346,123.5,24.5,11207.2187769577,0.499592765688639
1347,123.5,25.5,11116.8712006804,0.0427661582570362
1348,123.5,26.5,11023.1432333443,0
1349,123.5,27.5,10926.0621466725,0.586502401393461
1353,123.5,30.5,10614.9879825991,0
1356,123.5,33.5,10274.8137258071,0
1358,123.5,35.5,10032.3040396606,0
1359,123.5,36.5,9906.43667288967,0.359085371854899
1360,123.5,37.5,9777.54342768,0
1361,123.5,38.5,9645.66233895871,0
1398,124.5,18.5,11676.9170250703,0
1399,124.5,19.5,11607.3674556651,0
1401,124.5,20.5,11534.2952935211,0
1402,124.5,21.5,11457.7216674956,0
1403,124.5,22.5,11377.6687400526,0
1404,124.5,23.5,11294.1597036605,0.34675739189084
1405,124.5,24.5,11207.2187769577,0.451293319129678
1406,124.5,25.5,11116.8712006804,0
1414,124.5,32.5,10391.3847262419,0
1416,124.5,34.5,10155.1084370167,0.658899288510465
1418,124.5,36.5,9906.43667288967,0.66732285267159
1420,124.5,38.5,9645.66233895871,0
1421,124.5,39.5,9510.83237738504,0
1462,125.5,17.5,11742.9239098661,0
1463,125.5,18.5,11676.9170250703,0
1464,125.5,19.5,11607.3674556651,0
1466,125.5,20.5,11534.2952935211,0
1468,125.5,22.5,11377.6687400526,0
1470,125.5,24.5,11207.2187769577,0
1471,125.5,25.5,11116.8712006804,0.205224124665585
1472,125.5,26.5,11023.1432333443,0.638091634075842
1477,125.5,30.5,10614.9879825991,0
1480,125.5,33.5,10274.8137258071,0
1481,125.5,34.5,10155.1084370167,0.490456917516251
1482,125.5,35.5,10032.3040396606,0
1483,125.5,36.5,9906.43667288967,0
1484,125.5,37.5,9777.54342768,0
1489,125.5,6.5,12230.4826944356,0.0665192630944409
1490,125.5,7.5,12204.4720611718,0
1523,126.5,13.5,11971.1592313456,0
1524,126.5,14.5,11919.5031576378,0
1525,126.5,15.5,11864.2344618444,0
1526,126.5,16.5,11805.3690583309,0.44208899398395
1527,126.5,17.5,11742.9239098661,0.375196359009769
1528,126.5,18.5,11676.9170250703,0.497853868466587
1529,126.5,19.5,11607.3674556651,0.67843413591276
1531,126.5,20.5,11534.2952935211,0.449583089134372
1532,126.5,21.5,11457.7216674956,0
1533,126.5,22.5,11377.6687400526,0
1536,126.5,25.5,11116.8712006804,0
1537,126.5,26.5,11023.1432333443,0
1538,126.5,27.5,10926.0621466725,0
1545,126.5,33.5,10274.8137258071,0
1546,126.5,34.5,10155.1084370167,0
1547,126.5,35.5,10032.3040396606,0
1552,126.5,6.5,12230.4826944356,0
1588,127.5,10.5,12104.3083506663,0
1590,127.5,12.5,12019.1878193681,0
1591,127.5,13.5,11971.1592313456,0
1592,127.5,14.5,11919.5031576378,0
1593,127.5,15.5,11864.2344618444,0.358223606347142
1594,127.5,16.5,11805.3690583309,0.578794632540614
1595,127.5,17.5,11742.9239098661,0.84169298493211
1596,127.5,18.5,11676.9170250703,0.503252049980783
1597,127.5,19.5,11607.3674556651,0.520458711220315
1599,127.5,20.5,11534.2952935211,0.466047222996805
1600,127.5,21.5,11457.7216674956,0
1604,127.5,25.5,11116.8712006804,0.00789900048536858
1605,127.5,26.5,11023.1432333443,0.0212614396899736
